gene_symbol
KRAS
NRAS
HRAS
BRAF
PIK3CA
EGFR
ERBB2
TERT
MET
ALK
RET
ROS1
NTRK1
IDH1
IDH2
MDM2
CCND1
CDK4
MYC
GNAS
POLE
PTPN11
TP53
PTEN
APC
BRCA1
BRCA2
CDKN2A
RB1
SMAD4
STK11
NF1
NF2
ARID1A
KMT2D
SETD2
ATM
CHEK2
SMARCA4
SMARCB1
