nodeA	nodeB	weight	source	evidence	version
PIK3CA	NTRK1	0.96	STRING_Local	combined_score	v12.0
PIK3CA	CDKN2A	0.791	STRING_Local	combined_score	v12.0
RB1	CDKN2A	0.843	STRING_Local	combined_score	v12.0
RB1	MDM2	0.999	STRING_Local	combined_score	v12.0
RB1	CCND1	0.998	STRING_Local	combined_score	v12.0
RB1	SMARCB1	0.802	STRING_Local	combined_score	v12.0
RB1	PTEN	0.734	STRING_Local	combined_score	v12.0
RB1	TP53	0.936	STRING_Local	combined_score	v12.0
RB1	MYC	0.888	STRING_Local	combined_score	v12.0
RB1	CDK4	0.999	STRING_Local	combined_score	v12.0
RB1	ARID1A	0.786	STRING_Local	combined_score	v12.0
RB1	BRCA1	0.858	STRING_Local	combined_score	v12.0
RB1	SMARCA4	0.979	STRING_Local	combined_score	v12.0
TP53	SMAD4	0.875	STRING_Local	combined_score	v12.0
TP53	BRCA2	0.995	STRING_Local	combined_score	v12.0
TP53	NF1	0.88	STRING_Local	combined_score	v12.0
TP53	SETD2	0.845	STRING_Local	combined_score	v12.0
TP53	ALK	0.772	STRING_Local	combined_score	v12.0
TP53	ATM	0.999	STRING_Local	combined_score	v12.0
TP53	HRAS	0.925	STRING_Local	combined_score	v12.0
TP53	CDK4	0.966	STRING_Local	combined_score	v12.0
TP53	MYC	0.997	STRING_Local	combined_score	v12.0
TP53	CHEK2	0.999	STRING_Local	combined_score	v12.0
TP53	SMARCA4	0.993	STRING_Local	combined_score	v12.0
TP53	PIK3CA	0.941	STRING_Local	combined_score	v12.0
TP53	MET	0.804	STRING_Local	combined_score	v12.0
TP53	BRCA1	0.999	STRING_Local	combined_score	v12.0
TP53	IDH1	0.845	STRING_Local	combined_score	v12.0
TP53	ARID1A	0.961	STRING_Local	combined_score	v12.0
TP53	STK11	0.97	STRING_Local	combined_score	v12.0
TP53	KRAS	0.949	STRING_Local	combined_score	v12.0
TP53	NF2	0.773	STRING_Local	combined_score	v12.0
TP53	ERBB2	0.935	STRING_Local	combined_score	v12.0
TP53	RET	0.801	STRING_Local	combined_score	v12.0
TP53	TERT	0.902	STRING_Local	combined_score	v12.0
TP53	MDM2	0.999	STRING_Local	combined_score	v12.0
TP53	CDKN2A	0.999	STRING_Local	combined_score	v12.0
TP53	RB1	0.936	STRING_Local	combined_score	v12.0
TP53	PTEN	0.999	STRING_Local	combined_score	v12.0
TP53	SMARCB1	0.976	STRING_Local	combined_score	v12.0
TP53	NRAS	0.876	STRING_Local	combined_score	v12.0
TP53	CCND1	0.946	STRING_Local	combined_score	v12.0
TP53	KMT2D	0.81	STRING_Local	combined_score	v12.0
TP53	IDH2	0.783	STRING_Local	combined_score	v12.0
TP53	BRAF	0.887	STRING_Local	combined_score	v12.0
TP53	GNAS	0.81	STRING_Local	combined_score	v12.0
TP53	EGFR	0.943	STRING_Local	combined_score	v12.0
ERBB2	NRAS	0.904	STRING_Local	combined_score	v12.0
ERBB2	CCND1	0.904	STRING_Local	combined_score	v12.0
ERBB2	PTEN	0.868	STRING_Local	combined_score	v12.0
ERBB2	EGFR	0.999	STRING_Local	combined_score	v12.0
ERBB2	PTPN11	0.971	STRING_Local	combined_score	v12.0
ERBB2	RET	0.745	STRING_Local	combined_score	v12.0
ERBB2	NF2	0.734	STRING_Local	combined_score	v12.0
ERBB2	KRAS	0.966	STRING_Local	combined_score	v12.0
ERBB2	CDKN2A	0.773	STRING_Local	combined_score	v12.0
