nodeA	nodeB	weight	source	evidence	version
HRAS	TP53	0.925	STRING_Local	combined_score	v12.0
HRAS	SMAD4	0.714	STRING_Local	combined_score	v12.0
HRAS	ALK	0.966	STRING_Local	combined_score	v12.0
HRAS	NF1	0.994	STRING_Local	combined_score	v12.0
HRAS	MYC	0.871	STRING_Local	combined_score	v12.0
HRAS	MET	0.961	STRING_Local	combined_score	v12.0
HRAS	PIK3CA	0.995	STRING_Local	combined_score	v12.0
HRAS	ERBB2	0.907	STRING_Local	combined_score	v12.0
HRAS	RET	0.842	STRING_Local	combined_score	v12.0
HRAS	KRAS	0.992	STRING_Local	combined_score	v12.0
HRAS	CDKN2A	0.99	STRING_Local	combined_score	v12.0
HRAS	NRAS	0.932	STRING_Local	combined_score	v12.0
HRAS	CCND1	0.747	STRING_Local	combined_score	v12.0
HRAS	PTEN	0.823	STRING_Local	combined_score	v12.0
HRAS	BRAF	0.999	STRING_Local	combined_score	v12.0
HRAS	GNAS	0.812	STRING_Local	combined_score	v12.0
HRAS	EGFR	0.994	STRING_Local	combined_score	v12.0
HRAS	PTPN11	0.926	STRING_Local	combined_score	v12.0
CDKN2A	PTEN	0.923	STRING_Local	combined_score	v12.0
CDKN2A	KRAS	0.992	STRING_Local	combined_score	v12.0
CDKN2A	ERBB2	0.773	STRING_Local	combined_score	v12.0
CDKN2A	SMARCA4	0.811	STRING_Local	combined_score	v12.0
CDKN2A	BRCA1	0.832	STRING_Local	combined_score	v12.0
CDKN2A	IDH1	0.744	STRING_Local	combined_score	v12.0
CDKN2A	ATM	0.847	STRING_Local	combined_score	v12.0
CDKN2A	HRAS	0.99	STRING_Local	combined_score	v12.0
CDKN2A	MYC	0.998	STRING_Local	combined_score	v12.0
CDKN2A	CHEK2	0.758	STRING_Local	combined_score	v12.0
CDKN2A	NF1	0.772	STRING_Local	combined_score	v12.0
CDKN2A	SMAD4	0.851	STRING_Local	combined_score	v12.0
CDKN2A	BRAF	0.892	STRING_Local	combined_score	v12.0
CDKN2A	EGFR	0.91	STRING_Local	combined_score	v12.0
CDKN2A	RB1	0.843	STRING_Local	combined_score	v12.0
CDKN2A	NRAS	0.984	STRING_Local	combined_score	v12.0
CDKN2A	CCND1	0.998	STRING_Local	combined_score	v12.0
CDKN2A	MDM2	0.999	STRING_Local	combined_score	v12.0
CDKN2A	STK11	0.824	STRING_Local	combined_score	v12.0
CDKN2A	TERT	0.817	STRING_Local	combined_score	v12.0
CDKN2A	PIK3CA	0.791	STRING_Local	combined_score	v12.0
CDKN2A	ARID1A	0.72	STRING_Local	combined_score	v12.0
CDKN2A	CDK4	0.999	STRING_Local	combined_score	v12.0
CDKN2A	BRCA2	0.806	STRING_Local	combined_score	v12.0
CDKN2A	TP53	0.999	STRING_Local	combined_score	v12.0
BRCA1	NF1	0.876	STRING_Local	combined_score	v12.0
BRCA1	BRCA2	0.999	STRING_Local	combined_score	v12.0
BRCA1	TP53	0.999	STRING_Local	combined_score	v12.0
BRCA1	PIK3CA	0.728	STRING_Local	combined_score	v12.0
BRCA1	SMARCA4	0.983	STRING_Local	combined_score	v12.0
BRCA1	ARID1A	0.801	STRING_Local	combined_score	v12.0
BRCA1	ATM	0.999	STRING_Local	combined_score	v12.0
BRCA1	CHEK2	0.999	STRING_Local	combined_score	v12.0
BRCA1	MYC	0.999	STRING_Local	combined_score	v12.0
BRCA1	CDK4	0.972	STRING_Local	combined_score	v12.0
BRCA1	MDM2	0.794	STRING_Local	combined_score	v12.0
BRCA1	CDKN2A	0.832	STRING_Local	combined_score	v12.0
BRCA1	STK11	0.74	STRING_Local	combined_score	v12.0
BRCA1	KRAS	0.721	STRING_Local	combined_score	v12.0
BRCA1	ERBB2	0.918	STRING_Local	combined_score	v12.0
BRCA1	EGFR	0.8	STRING_Local	combined_score	v12.0
BRCA1	SMARCB1	0.709	STRING_Local	combined_score	v12.0
BRCA1	PTEN	0.821	STRING_Local	combined_score	v12.0
BRCA1	RB1	0.858	STRING_Local	combined_score	v12.0
BRCA1	POLE	0.919	STRING_Local	combined_score	v12.0
BRCA1	CCND1	0.922	STRING_Local	combined_score	v12.0
BRAF	SMAD4	0.756	STRING_Local	combined_score	v12.0
BRAF	TP53	0.887	STRING_Local	combined_score	v12.0
BRAF	NF1	0.903	STRING_Local	combined_score	v12.0
BRAF	BRCA2	0.721	STRING_Local	combined_score	v12.0
BRAF	MYC	0.722	STRING_Local	combined_score	v12.0
BRAF	HRAS	0.999	STRING_Local	combined_score	v12.0
BRAF	ATM	0.778	STRING_Local	combined_score	v12.0
BRAF	IDH1	0.799	STRING_Local	combined_score	v12.0
BRAF	ARID1A	0.702	STRING_Local	combined_score	v12.0
BRAF	PIK3CA	0.947	STRING_Local	combined_score	v12.0
BRAF	TERT	0.815	STRING_Local	combined_score	v12.0
BRAF	KRAS	0.999	STRING_Local	combined_score	v12.0
BRAF	CDKN2A	0.892	STRING_Local	combined_score	v12.0
BRAF	CCND1	0.864	STRING_Local	combined_score	v12.0
BRAF	NRAS	0.999	STRING_Local	combined_score	v12.0
BRAF	PTEN	0.943	STRING_Local	combined_score	v12.0
BRAF	PTPN11	0.862	STRING_Local	combined_score	v12.0
BRAF	GNAS	0.761	STRING_Local	combined_score	v12.0
BRAF	IDH2	0.731	STRING_Local	combined_score	v12.0
NTRK1	PIK3CA	0.96	STRING_Local	combined_score	v12.0
NTRK1	ERBB2	0.751	STRING_Local	combined_score	v12.0
MYC	TP53	0.997	STRING_Local	combined_score	v12.0
MYC	SMAD4	0.931	STRING_Local	combined_score	v12.0
MYC	ALK	0.896	STRING_Local	combined_score	v12.0
MYC	BRCA2	0.759	STRING_Local	combined_score	v12.0
MYC	CDK4	0.966	STRING_Local	combined_score	v12.0
MYC	ATM	0.871	STRING_Local	combined_score	v12.0
MYC	HRAS	0.871	STRING_Local	combined_score	v12.0
MYC	BRCA1	0.999	STRING_Local	combined_score	v12.0
MYC	IDH1	0.74	STRING_Local	combined_score	v12.0
MYC	SMARCA4	0.974	STRING_Local	combined_score	v12.0
MYC	PIK3CA	0.74	STRING_Local	combined_score	v12.0
MYC	ERBB2	0.886	STRING_Local	combined_score	v12.0
MYC	TERT	0.92	STRING_Local	combined_score	v12.0
MYC	STK11	0.774	STRING_Local	combined_score	v12.0
MYC	KRAS	0.872	STRING_Local	combined_score	v12.0
MYC	CDKN2A	0.998	STRING_Local	combined_score	v12.0
MYC	MDM2	0.813	STRING_Local	combined_score	v12.0
MYC	CCND1	0.969	STRING_Local	combined_score	v12.0
MYC	RB1	0.888	STRING_Local	combined_score	v12.0
MYC	PTEN	0.908	STRING_Local	combined_score	v12.0
MYC	SMARCB1	0.906	STRING_Local	combined_score	v12.0
MYC	BRAF	0.722	STRING_Local	combined_score	v12.0
MYC	EGFR	0.875	STRING_Local	combined_score	v12.0
PTPN11	RET	0.871	STRING_Local	combined_score	v12.0
PTPN11	ERBB2	0.971	STRING_Local	combined_score	v12.0
PTPN11	KRAS	0.953	STRING_Local	combined_score	v12.0
PTPN11	EGFR	0.999	STRING_Local	combined_score	v12.0
PTPN11	BRAF	0.862	STRING_Local	combined_score	v12.0
PTPN11	NRAS	0.952	STRING_Local	combined_score	v12.0
PTPN11	PTEN	0.745	STRING_Local	combined_score	v12.0
PTPN11	ALK	0.79	STRING_Local	combined_score	v12.0
PTPN11	NF1	0.852	STRING_Local	combined_score	v12.0
PTPN11	MET	0.927	STRING_Local	combined_score	v12.0
PTPN11	PIK3CA	0.99	STRING_Local	combined_score	v12.0
PTPN11	HRAS	0.926	STRING_Local	combined_score	v12.0
